cell_id,mf2050,polf2050,secf2050,susf2050
GLR_149,0,0,0,0
GLR_150,0,0,0,0
GLR_151,5.4238323722,5.4238323722,5.4238323722,5.4238323722
GLR_152,41.902815923,41.9028159235,41.9028159223,41.902815923
GLR_153,13.87566821,25.7300591874,164.2497087225,79.0313678074
GLR_154,0,0,0,0
GLR_155,0,113.3560567819,534.3592010949,278.7629074951
GLR_156,0,0,0,0
GLR_157,0,0,0,0
GLR_158,0,0,0,0
GLR_159,0,0,0,0
GLR_160,0,0,0,0
GLR_161,0,0,375.2001272284,36.9080032174
GLR_162,0,0,0,0
GLR_163,0,0,0,0
GLR_164,0,0,0,0
GLR_165,0,0,0,0
GLR_166,0,0,0,0
GLR_167,0,0,0,0
GLR_168,0,0,0,0
GLR_169,0,0,0,0
GLR_170,0,0,0,0
GLR_171,0,85.0548485648,87.2955273998,85.0548485648
GLR_172,0,0,0,0
GLR_173,0,0,0,0
GLR_174,0,0,0,0
GLR_175,0,0,0,0
GLR_176,0,0,0,0
GLR_177,65.0880538427,65.0880538427,115.8075172614,65.0880538427
GLR_178,0,0,0,0
GLR_179,0,0,0,0
GLR_180,0,0,0,0
GLR_181,0,0,64.632750516,0
GLR_182,0,0,0,0
GLR_183,0,0,0,0
GLR_184,0,0,0,0
GLR_185,0,0,0,0
GLR_186,41.929759801,466.741306781,1175.718950837,502.4874295448
GLR_187,29.6937801277,29.6937801277,294.2260174322,31.1348137528
GLR_188,0,84.821880635,371.082156845,84.821880635
GLR_189,33.9694459956,33.9694459956,46.8803441823,33.9694459956
GLR_190,0,0,163.4124372149,0
GLR_191,0,0,227.5277040519,0
GLR_192,0,0,9.0787584279,0
GLR_193,442.107681361,557.5725357926,640.8003686216,640.8003686216
GLR_194,120.1238412648,120.1238412648,120.1238412648,120.1238412648
GLR_195,0,334.1402206015,335.5220005654,335.5220005644
GLR_196,24.3405846223,24.3405846223,0,24.3405846223
GLR_197,30.039402837,30.039402837,30.039402837,30.039402837
GLR_198,0,0,0,0
GLR_199,90.6546002366,90.6546002366,123.7064657193,90.6546002366
GLR_200,0,0,0,0
GLR_201,0,0,0,0
GLR_202,525.0375627,525.0375627,0,525.0375627
GLR_203,0,0,0,0
GLR_204,0,0,0,0
GLR_205,0,0,0,0
GLR_206,0,0,0,0
